hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.22, 0.00154639, 7967.22, -119.998, 7967.22, 120.002, 0, 0, 0.0215035, -89.9985, 0.0215035, 150.002, 0.0215035, 30.0015, 4.19646E-012, 150.001
2, 0.00000, 7967.32, 0.000828745, 7967.32, -119.999, 7967.32, 120.001, 0, 0, 0.0115241, -89.9992, 0.0115241, 150.001, 0.0115241, 30.0008, 2.24895E-012, 150.001
3, 0.00000, 7967.37, 0.000488099, 7967.37, -120, 7967.37, 120, 0, 0, 0.00678714, -89.9995, 0.00678714, 150, 0.00678714, 30.0005, 1.32453E-012, 150
4, 0.00000, 7967.39, 0.000327768, 7967.39, -120, 7967.39, 120, 0, 0, 0.0045576, -89.9997, 0.0045576, 150, 0.0045576, 30.0003, 8.89426E-013, 150
5, 0.00000, 7967.4, 0.000262218, 7967.4, -120, 7967.4, 120, 0, 0, 0.00364608, -89.9997, 0.00364608, 150, 0.00364608, 30.0003, 7.1154E-013, 150
6, 0.00000, 7967.4, 0.000209778, 7967.4, -120, 7967.4, 120, 0, 0, 0.00291686, -89.9998, 0.00291686, 150, 0.00291686, 30.0002, 5.69232E-013, 150
7, 0.00000, 7967.41, 0.000167826, 7967.41, -120, 7967.41, 120, 0, 0, 0.00233348, -89.9998, 0.00233348, 150, 0.00233348, 30.0002, 4.55384E-013, 150
8, 0.00000, 7967.42, 0.000134265, 7967.42, -120, 7967.42, 120, 0, 0, 0.00186679, -89.9999, 0.00186679, 150, 0.00186679, 30.0001, 3.64308E-013, 150
9, 0.00000, 8036.2, 1.281, 8036.2, -118.719, 8036.2, 121.281, 0, 0, 13.5522, -155.384, 13.5522, 84.6159, 13.5522, -35.3841, 2.64475E-009, 84.6159
10, 0.00000, 8111.13, 1.89107, 8111.13, -118.109, 8111.13, 121.891, 0, 0, 21.3357, -162.491, 21.3357, 77.5092, 21.3357, -42.4908, 4.1637E-009, 77.5092
11, 0.00000, 8208.92, 2.86514, 8208.92, -117.135, 8208.92, 122.865, 0, 0, 33.304, -164.402, 33.304, 75.5981, 33.304, -44.4019, 6.49935E-009, 75.598
12, 0.00000, 8272.61, 2.94661, 8272.61, -117.053, 8272.61, 122.947, 0, 0, 36.5666, -169.68, 36.5666, 70.3199, 36.5666, -49.6801, 7.13606E-009, 70.3198
13, 0.00000, 8320.96, 3.13509, 8320.96, -116.865, 8320.96, 123.135, 0, 0, 40.2134, -171.851, 40.2134, 68.1492, 40.2134, -51.8507, 7.84775E-009, 68.1493
14, 0.00000, 8341.46, 2.98145, 8341.46, -117.019, 8341.46, 122.981, 0, 0, 39.9884, -174.898, 39.9884, 65.1021, 39.9884, -54.8979, 7.80383E-009, 65.102
15, 0.00000, 8347.98, 2.87782, 8347.98, -117.122, 8347.98, 122.878, 0, 0, 39.5333, -176.439, 39.5333, 63.5606, 39.5333, -56.4394, 7.71502E-009, 63.5605
16, 0.00000, 8331.62, 2.50583, 8331.62, -117.494, 8331.62, 122.506, 0, 0, 36.0265, -179.36, 36.0265, 60.6401, 36.0265, -59.3599, 7.03067E-009, 60.64
17, 0.00000, 8281.61, 1.76602, 8281.61, -118.234, 8281.61, 121.766, 0, 0, 28.4066, 174.443, 28.4066, 54.4429, 28.4066, -65.5571, 5.54361E-009, 54.4428
18, 0.00000, 8194.04, 0.706431, 8194.04, -119.294, 8194.04, 120.706, 0, 0, 17.5033, 159.088, 17.5033, 39.0875, 17.5033, -80.9125, 3.41581E-009, 39.0874
19, 0.00000, 8064.67, -0.703613, 8064.67, -120.704, 8064.67, 119.296, 0, 0, 9.78405, 89.2964, 9.78405, -30.7036, 9.78405, -150.704, 1.90938E-009, -30.7036
20, 0.00000, 8009.82, -0.305619, 8009.82, -120.306, 8009.82, 119.694, 0, 0, 4.24985, 89.6944, 4.24985, -30.3056, 4.24985, -150.306, 8.29368E-010, -30.3057
21, 0.00000, 7986.04, -0.133946, 7986.04, -120.134, 7986.04, 119.866, 0, 0, 1.86262, 89.8661, 1.86262, -30.1339, 1.86262, -150.134, 3.63495E-010, -30.134
22, 0.00000, 7975.63, -0.0590075, 7975.63, -120.059, 7975.63, 119.941, 0, 0, 0.820546, 89.941, 0.820546, -30.059, 0.820546, -150.059, 1.60132E-010, -30.0591
23, 0.00000, 7971.06, -0.0260726, 7971.06, -120.026, 7971.06, 119.974, 0, 0, 0.362561, 89.9739, 0.362561, -30.0261, 0.362561, -150.026, 7.07546E-011, -30.0261
24, 0.00000, 7969.05, -0.0115941, 7969.05, -120.012, 7969.05, 119.988, 0, 0, 0.161226, 89.9884, 0.161226, -30.0116, 0.161226, -150.012, 3.14636E-011, -30.0117
