Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Transformer.SUB,    13.1578,    47.65,    34.94,    2218.73,    720.933, 0, 0, 3, 66.4 
Transformer.REG1,    349.548,    45.78,    33.57,    778.849,    313.404, 0, 0, 1, 2.4 
Transformer.REG2,    260.393,    34.10,    25.01,    608.883,    142.916, 0, 0, 1, 2.4 
Transformer.REG3,    363.088,    47.55,    34.87,    830.991,     264.52, 0, 0, 1, 2.4 
Transformer.XFM1,    50.4338,    66.07,    48.45,    252.808,    185.596, 0, 0, 3, 2.4 
Capacitor.CAP1,    86.5534,    76.99,    57.74,          0,   -616.422, 0, 0, 3, 2.4 
Capacitor.CAP2,    41.6457,    74.04,    55.53, -7.27596E-015,   -99.8996, 0, 0, 1, 2.4 
Line.650632,    347.869,    57.98,    57.98,    2218.61,    720.723, 0, 0, 3, 2.4 
Line.632670,    286.384,    73.43,    73.43,    1686.57,    300.524, 0, 0, 3, 2.4 
Line.670671,    281.456,    46.91,    46.91,    1556.68,    213.174, 0, 0, 3, 2.4 
Line.671680, 0.000600339,     0.00,     0.00, 1.66524E-011, -0.00432109, 0, 0, 3, 2.4 
Line.632633,    50.4336,     8.41,     8.41,    253.122,    185.996, 0, 0, 3, 2.4 
Line.632645,    89.9846,    15.00,    15.00,    257.656,    165.433, 0, 0, 2, 2.4 
Line.645646,    40.7284,     6.79,     6.79,    150.009,    86.1383, 0, 0, 2, 2.4 
Line.692675,    130.865,    21.81,    21.81,     530.12,   -325.915, 0, 0, 3, 2.4 
Line.671684,    49.0065,     8.17,     8.17,     187.57,    4.60861, 0, 0, 2, 2.4 
Line.684611,    49.0065,     8.17,     8.17,    106.675,   -49.6012, 0, 0, 1, 2.4 
Line.684652,    40.2739,     6.71,     6.71,    80.6378,    54.0047, 0, 0, 1, 2.4 
Line.671692,    137.535,    34.38,    22.92,    637.252,   -230.758, 0, 0, 3, 2.4 
