hour, t(sec), S1 (kVA), Ang1
0, 0.00200, 0.169979, 180
0, 0.00400, 0.170473, 180
0, 0.00600, 0.16985, 180
0, 0.00800, 0.169085, -180
0, 0.01000, 0.171106, -180
0, 0.01200, 0.174263, 180
0, 0.01400, 0.173232, 180
0, 0.01600, 0.168687, 180
0, 0.01800, 0.168125, 180
0, 0.02000, 0.17217, 180
0, 0.02200, 0.172518, 180
0, 0.02400, 0.167406, 180
0, 0.02600, 0.164523, 180
0, 0.02800, 0.167184, 180
0, 0.03000, 0.168957, 180
0, 0.03200, 0.166689, -180
0, 0.03400, 0.165596, -180
0, 0.03600, 0.168751, 180
0, 0.03800, 0.17135, 180
0, 0.04000, 0.17024, 180
0, 0.04200, 0.169362, 180
0, 0.04400, 0.17205, 180
0, 0.04600, 0.174802, 180
0, 0.04800, 0.174576, 180
0, 0.05000, 0.174057, 180
0, 0.05200, 0.176449, -180
0, 0.05400, 0.179141, 180
0, 0.05600, 0.179431, 180
0, 0.05800, 0.179057, 180
0, 0.06000, 0.180945, 180
0, 0.06200, 0.183413, 180
0, 0.06400, 0.184002, 180
0, 0.06600, 0.183731, -180
0, 0.06800, 0.1851, 180
0, 0.07000, 0.18729, 180
0, 0.07200, 0.18804, 180
0, 0.07400, 0.187838, -180
0, 0.07600, 0.188737, 180
0, 0.07800, 0.190577, 180
0, 0.08000, 0.191397, 180
0, 0.08200, 0.191259, 180
0, 0.08400, 0.191768, 180
0, 0.08600, 0.193234, 180
0, 0.08800, 0.194065, 180
0, 0.09000, 0.193997, 180
0, 0.09200, 0.194199, 180
0, 0.09400, 0.195287, -180
0, 0.09600, 0.19609, 180
0, 0.09800, 0.196102, 180
0, 0.10000, 0.00360385, 180
0, 0.10200, 0.00372458, 180
0, 0.10400, 0.00352028, 180
0, 0.10600, 0.00352544, 180
0, 0.10800, 0.00339586, 180
0, 0.11000, 0.002942, 180
0, 0.11200, 0.00258305, 180
0, 0.11400, 0.00260325, 180
0, 0.11600, 0.00250057, 180
0, 0.11800, 0.00157668, 180
0, 0.12000, 0.00128011, 180
0, 0.12200, 0.00130882, 180
0, 0.12400, 0.00125034, 180
0, 0.12600, 0.00119486, 180
0, 0.12800, 0.00119475, 180
0, 0.13000, 0.00113552, -180
0, 0.13200, 0.000990299, 180
0, 0.13400, 0.000892926, 180
0, 0.13600, 0.000893301, -180
0, 0.13800, 0.000867651, 180
0, 0.14000, 0.000780821, 180
0, 0.14200, 0.000728205, 180
0, 0.14400, 0.000729848, 180
0, 0.14600, 0.00069587, 180
0, 0.14800, 0.00061651, 180
0, 0.15000, 0.000573454, 180
0, 0.15200, 0.000574939, 180
0, 0.15400, 0.000546612, 180
0, 0.15600, 0.000485587, 180
0, 0.15800, 0.000455687, 180
0, 0.16000, 0.000456217, 180
0, 0.16200, 0.000429868, 180
0, 0.16400, 0.000380137, 180
0, 0.16600, 0.000357776, 180
0, 0.16800, 0.000357567, 180
0, 0.17000, 0.000334673, 180
0, 0.17200, 0.000295148, -180
0, 0.17400, 0.000278615, 180
0, 0.17600, 0.000277741, 180
0, 0.17800, 0.000257926, 180
0, 0.18000, 0.000226252, -180
0, 0.18200, 0.00021366, 180
0, 0.18400, 0.000212396, -180
0, 0.18600, 0.000195683, 180
0, 0.18800, 0.000170366, 180
0, 0.19000, 0.000160577, 180
0, 0.19200, 0.000159173, 180
0, 0.19400, 0.000145377, 180
0, 0.19600, 0.0001251, 180
0, 0.19800, 0.000117256, 180
0, 0.20000, 0.000115973, 180
0, 0.20200, 0.000104975, 180
0, 0.20400, 8.87662E-005, 180
0, 0.20600, 8.22798E-005, 180
0, 0.20800, 8.13807E-005, 180
0, 0.21000, 7.31599E-005, 180
0, 0.21200, 6.03731E-005, 180
0, 0.21400, 5.4839E-005, 180
0, 0.21600, 5.46447E-005, -180
0, 0.21800, 4.94699E-005, 180
0, 0.22000, 4.00103E-005, 180
0, 0.22200, 3.53009E-005, -180
0, 0.22400, 3.62485E-005, 180
0, 0.22600, 3.48418E-005, 180
0, 0.22800, 2.95216E-005, 180
0, 0.23000, 2.61873E-005, 180
0, 0.23200, 2.83951E-005, 180
0, 0.23400, 3.08182E-005, 180
0, 0.23600, 2.98438E-005, 180
0, 0.23800, 2.83564E-005, 180
0, 0.24000, 3.07734E-005, 180
0, 0.24200, 3.47504E-005, 180
0, 0.24400, 3.60145E-005, 180
0, 0.24600, 3.55906E-005, 180
0, 0.24800, 3.75461E-005, 180
0, 0.25000, 4.13373E-005, 180
