hour, t(sec), V1, VAngle1, I1, IAngle1
0, 0.00200, 207.866, 0.0108953, 0.817733, -179.989
0, 0.00400, 207.866, 0.010927, 0.820109, -179.989
0, 0.00600, 207.866, 0.010887, 0.817113, -179.989
0, 0.00800, 207.866, 0.010838, 0.813433, -179.989
0, 0.01000, 207.866, 0.0109676, 0.823156, -179.989
0, 0.01200, 207.866, 0.0111699, 0.838343, -179.989
0, 0.01400, 207.866, 0.0111039, 0.833384, -179.989
0, 0.01600, 207.866, 0.0108125, 0.811518, -179.989
0, 0.01800, 207.866, 0.0107765, 0.808815, -179.989
0, 0.02000, 207.866, 0.0110358, 0.828275, -179.989
0, 0.02200, 207.866, 0.0110581, 0.829949, -179.989
0, 0.02400, 207.865, 0.0107304, 0.805358, -179.989
0, 0.02600, 207.865, 0.0105456, 0.791488, -179.989
0, 0.02800, 207.865, 0.0107162, 0.804291, -179.989
0, 0.03000, 207.866, 0.0108298, 0.812816, -179.989
0, 0.03200, 207.865, 0.0106845, 0.801908, -179.989
0, 0.03400, 207.865, 0.0106144, 0.796649, -179.989
0, 0.03600, 207.866, 0.0108166, 0.811829, -179.989
0, 0.03800, 207.866, 0.0109832, 0.824328, -179.989
0, 0.04000, 207.866, 0.0109121, 0.818992, -179.989
0, 0.04200, 207.866, 0.0108558, 0.814765, -179.989
0, 0.04400, 207.866, 0.0110281, 0.827696, -179.989
0, 0.04600, 207.866, 0.0112045, 0.840935, -179.989
0, 0.04800, 207.866, 0.01119, 0.839848, -179.989
0, 0.05000, 207.866, 0.0111567, 0.83735, -179.989
0, 0.05200, 207.866, 0.01131, 0.848857, -179.989
0, 0.05400, 207.867, 0.0114826, 0.861808, -179.989
0, 0.05600, 207.867, 0.0115011, 0.8632, -179.988
0, 0.05800, 207.867, 0.0114772, 0.861405, -179.989
0, 0.06000, 207.867, 0.0115981, 0.870483, -179.988
0, 0.06200, 207.867, 0.0117563, 0.882354, -179.988
0, 0.06400, 207.867, 0.0117941, 0.885188, -179.988
0, 0.06600, 207.867, 0.0117767, 0.883888, -179.988
0, 0.06800, 207.867, 0.0118645, 0.890474, -179.988
0, 0.07000, 207.868, 0.0120048, 0.901004, -179.988
0, 0.07200, 207.868, 0.0120529, 0.904612, -179.988
0, 0.07400, 207.868, 0.0120399, 0.903641, -179.988
0, 0.07600, 207.868, 0.0120976, 0.907967, -179.988
0, 0.07800, 207.868, 0.0122155, 0.916818, -179.988
0, 0.08000, 207.868, 0.0122681, 0.920763, -179.988
0, 0.08200, 207.868, 0.0122592, 0.9201, -179.988
0, 0.08400, 207.868, 0.0122918, 0.922547, -179.988
0, 0.08600, 207.868, 0.0123858, 0.929599, -179.988
0, 0.08800, 207.868, 0.012439, 0.933595, -179.988
0, 0.09000, 207.868, 0.0124347, 0.933267, -179.988
0, 0.09200, 207.869, 0.0124476, 0.934238, -179.988
0, 0.09400, 207.869, 0.0125173, 0.939472, -179.987
0, 0.09600, 207.869, 0.0125688, 0.943338, -179.987
0, 0.09800, 207.869, 0.0125696, 0.943392, -179.987
0, 0.10000, 3.82051, -62.6499, 0.943293, 117.35
0, 0.10200, 3.82054, -62.6499, 0.974884, 117.35
0, 0.10400, 3.82048, -62.6499, 0.921422, 117.35
0, 0.10600, 3.82049, -62.6499, 0.922772, 117.35
0, 0.10800, 3.82045, -62.6499, 0.888863, 117.35
0, 0.11000, 3.82033, -62.6499, 0.770089, 117.35
0, 0.11200, 3.82024, -62.65, 0.676149, 117.35
0, 0.11400, 3.82025, -62.65, 0.681434, 117.35
0, 0.11600, 3.82022, -62.65, 0.654562, 117.35
0, 0.11800, 3.81998, -62.65, 0.412745, 117.35
0, 0.12000, 3.8199, -62.65, 0.335115, 117.35
0, 0.12200, 3.81991, -62.65, 0.342631, 117.35
0, 0.12400, 3.8199, -62.65, 0.327323, 117.35
0, 0.12600, 3.81988, -62.65, 0.3128, 117.35
0, 0.12800, 3.81988, -62.65, 0.312771, 117.35
0, 0.13000, 3.81987, -62.6501, 0.297267, 117.35
0, 0.13200, 3.81983, -62.6501, 0.259252, 117.35
0, 0.13400, 3.8198, -62.6501, 0.233762, 117.35
0, 0.13600, 3.8198, -62.6501, 0.233861, 117.35
0, 0.13800, 3.8198, -62.6501, 0.227146, 117.35
0, 0.14000, 3.81977, -62.6501, 0.204416, 117.35
0, 0.14200, 3.81976, -62.6501, 0.190642, 117.35
0, 0.14400, 3.81976, -62.6501, 0.191072, 117.35
0, 0.14600, 3.81975, -62.6501, 0.182177, 117.35
0, 0.14800, 3.81973, -62.6501, 0.161401, 117.35
0, 0.15000, 3.81972, -62.6501, 0.15013, 117.35
0, 0.15200, 3.81972, -62.6501, 0.150519, 117.35
0, 0.15400, 3.81971, -62.6501, 0.143103, 117.35
0, 0.15600, 3.8197, -62.6501, 0.127127, 117.35
0, 0.15800, 3.81969, -62.6501, 0.1193, 117.35
0, 0.16000, 3.81969, -62.6501, 0.119438, 117.35
0, 0.16200, 3.81968, -62.6501, 0.11254, 117.35
0, 0.16400, 3.81967, -62.6501, 0.0995209, 117.35
0, 0.16600, 3.81966, -62.6501, 0.093667, 117.35
0, 0.16800, 3.81966, -62.6501, 0.0936123, 117.35
0, 0.17000, 3.81966, -62.6501, 0.0876186, 117.35
0, 0.17200, 3.81965, -62.6501, 0.0772711, 117.35
0, 0.17400, 3.81964, -62.6501, 0.0729428, 117.35
0, 0.17600, 3.81964, -62.6501, 0.0727137, 117.35
0, 0.17800, 3.81964, -62.6501, 0.0675264, 117.35
0, 0.18000, 3.81963, -62.6501, 0.059234, 117.35
0, 0.18200, 3.81963, -62.6501, 0.0559375, 117.35
0, 0.18400, 3.81963, -62.6501, 0.0556065, 117.35
0, 0.18600, 3.81962, -62.6501, 0.0512309, 117.35
0, 0.18800, 3.81961, -62.6501, 0.044603, 117.35
0, 0.19000, 3.81961, -62.6501, 0.0420402, 117.35
0, 0.19200, 3.81961, -62.6501, 0.0416727, 117.35
0, 0.19400, 3.81961, -62.6501, 0.0380608, 117.35
0, 0.19600, 3.8196, -62.6501, 0.032752, 117.35
0, 0.19800, 3.8196, -62.6501, 0.0306985, 117.35
0, 0.20000, 3.8196, -62.6501, 0.0303626, 117.35
0, 0.20200, 3.8196, -62.6501, 0.0274832, 117.35
0, 0.20400, 3.81959, -62.6501, 0.0232397, 117.35
0, 0.20600, 3.81959, -62.6501, 0.0215415, 117.35
0, 0.20800, 3.81959, -62.6501, 0.0213061, 117.35
0, 0.21000, 3.81959, -62.6501, 0.0191539, 117.35
0, 0.21200, 3.81959, -62.6501, 0.0158062, 117.35
0, 0.21400, 3.81958, -62.6501, 0.0143573, 117.35
0, 0.21600, 3.81958, -62.6501, 0.0143065, 117.35
0, 0.21800, 3.81958, -62.6501, 0.0129516, 117.35
0, 0.22000, 3.81958, -62.6501, 0.0104751, 117.35
0, 0.22200, 3.81958, -62.6501, 0.00924209, 117.35
0, 0.22400, 3.81958, -62.6501, 0.00949018, 117.35
0, 0.22600, 3.81958, -62.6501, 0.0091219, 117.35
0, 0.22800, 3.81958, -62.6501, 0.00772901, 117.35
0, 0.23000, 3.81958, -62.6501, 0.00685608, 117.35
0, 0.23200, 3.81958, -62.6501, 0.0074341, 117.35
0, 0.23400, 3.81958, -62.6501, 0.00806849, 117.35
0, 0.23600, 3.81958, -62.6501, 0.00781337, 117.35
0, 0.23800, 3.81958, -62.6501, 0.00742396, 117.35
0, 0.24000, 3.81958, -62.6501, 0.00805677, 117.35
0, 0.24200, 3.81958, -62.6501, 0.00909796, 117.35
0, 0.24400, 3.81958, -62.6501, 0.00942891, 117.35
0, 0.24600, 3.81958, -62.6501, 0.00931794, 117.35
0, 0.24800, 3.81958, -62.6501, 0.00982989, 117.35
0, 0.25000, 3.81958, -62.6501, 0.0108225, 117.35
